Name,"Publications","Awards","Grants","Visiting Lectures","Appointments"
"Jenna Koroly, MS, RD, CSOWM, CDN","Interviewed for and featured in Real Estate In-Depth article, after the author attended our February 2024 Mt. Kisco Heartfelt Health event, where I was on the panel of speakers: https://realestateindepth.com/living-healthy-in-a-hectic-industry/",,,,
"Marina Ruzimovsky, NP",,,,"lecturer at American Urological Association Advanced Practice Provider Symposium.
05/04/24 
Self-Instillation of Intravesical Therapy in Patients with Interstitial Cystitis/Bladder Pain Syndrome",
"Leila Tchelebi, MD"," Tchelebi, L., Smith, K., Shi, Q., Fitzgerald, TJ., Chuong, M., Zemla, T., O’Reilly, E., Meyerhardt, J., Koay, E., Lowenstein, J., Katz, M., Herman, J. Radiation Therapy (RT) Quality Assurance (QA) Analysis of Alliance A021501: Preoperative mFOLFIRINOX or mFOLFIRINOX plus hypofractionated radiation therapy for borderline resectable adenocarcinoma of the pancreas. IJROBP, March 2024. PMID 38492812.
Tchelebi, L., Winter, K., Abrams, R., Safran, HP., Regine, WF., McNulty, S., Wu, A., Du, K., Seaward, SA., Bian, SX., Alijumaily, R., Shivnani, A., Moore, T., Crocenzi, T., DiPetrillo, TA., Kuykendal, AK., Crane, CH., Goodman, K. Analysis of Radiation Therapy Quality Assurance in NRG Oncology RTOG 0848. IJROBP, 2023 August. PMID: 37598723.
Siven, C., Chiam, M., Mani, K., Liang, M., Trifiletti, D., Spratt, D., Prasad, V., Wang, M., Tchelebi, L., Zaorsky, NG. Unknown Causes of Death in Cancer Patients. Am J Clin Oncol, 2023 April. PMID: 47038261.
Tchelebi, L., Kapur, A., Chou, H., Potters, L. A decade of prospective peer review: impact on safety culture and lessons learned in a multicenter radiation medicine department. Practical Radiation Oncology, 2023 June; 13(4):e325-e331. PMID: 36706911.
Nosrati, J., Sidiqi, B., Chitti, B., Riegel, A., Herman, J., Tchelebi, L. Borderline Resectable Pancreatic Cancer: A Review of Recent Literature and Clinical Practice. Digestive Medicine Research. 2023 May. Published online. DOI: 10.21037/dmr-22-69.
Jethwa, K., Kim, E., Berlin, J., Anker, C., Tchelebi, L., Abood, G., Hallemeier, C., Jabbour, S., Kennedy, T., Kumar, R., Lee, P., Sharma, N., Small, W., Williams, V., Russo, S. Executive Summary of the ARS AUC Criteria for Neoadjuvant Therapy for Nonmetastatic Pancreatic Adenocarcinoma: Systematic review and guidelines. AJCO, 2023 December. PMID: 38131628.
Hallemeier, C., Sharma, N., Anker, C., Selfridge, E., Lee, P., Jabbour, S., Williams, V., Liu, D., Kennedy, T., Jethwa, K., Kim, E., Kumar, R., Small, W., Tchelebi, L., Russo, S. American Radium Society® (ARS) Appropriate Use Criteria (AUC) for the use of liver-directed therapies for nonsurgical management of liver metastases: Systematic review and guidelines. Cancer, 2023 July; 1- 20. doi:10.1002/cncr.34931
","Finalist, Northwell Health Truly Rising Star Award, Northwell, 2024
Radiation Oncology Institute Publication Excellence Award, Radiation Oncology Institute, 2023
RTOG Foundation New Investigator Spotlight, RTOG Foundation, 2023
Recipient NRG Oncology Early Career & New Investigators (ECNI) Mentored Fellowship, NRG Oncology, 2023",,"University of California Irvine Resident Lecture Series, “Radiation Therapy Quality Assurance”, June 2024
Northwell Colon and Rectal Academic Program, “The Role of Radiation Therapy in Rectal Cancer"", Northwell March 2024
Speaker, UT Health San Antonio Resident Lecture Series: “The Role of Radiation in the Management of Anal Cancer”, October 2023
 ACRO Resident Symposium: Cases with the Experts on Anal Cancer, ACRO Annual Meeting, March 2023
Speaker, Phelps and Northern Westchester Grand Rounds, “Current Trends in the Management of Colon and Rectal Cancer”, Northwell, March 2024
Speaker, Phelps and Northern Westchester Grand Rounds, “Radiation Therapy for Pancreas Cancer: Where are we and where are we headed?”, Northwell, January 2024
Speaker, American Radium Society (ARS) Annual Meeting, “The Role of SBRT for Upper Gastrintestinal Malignancies,” Palm Springs, CA, May 2024
Webinar, “American Radium Society Appropriate Use Criteria for Extrahepatic Cholangiocarcinoma” (virtual), December 2023
Speaker, American Association of Physicists in Medicine (AAPM) annual meeting, “Recent Findings from Adult Clinical Trials Impacting Radiotherapy,” Houston, TX, July 2023
Moderator of RadioSurgery Society (RSS) webinar on “Enhancing Stereotactic Treatments with SGRT: SBRT Pancreas and Hypofractionated Prostate” and “Improved Accuracy and Efficiency in Hypofractioned Pelvis Treatments Using Surface Guided Radiation Therapy” (virtual) April 2024
University of Calgary Grand Rounds Speaker, “Radiation Therapy for Pancreas Cancer: Where Are We and Where Are We Headed, November 2023
Co-organizer and moderator of Northwell Radiation Best of Radiation Oncology annual conference, January 2023","Member of NCI Esophagogastric and Hepatobiliary Task Force, NCI, as of 2024
Member of ASTRO Gastric Cancer Task Force 2024"
"Randi Goldman, MD","1. The Voice of Infertility: A Review of Fertility Podcasts. Hum Fertil (Camb). Dec 2023

2. Weekday vs. weekend oocyte retrievals: is there a difference? Hum Fert (Camb). Dec 2023

3. Characteristics of patients seeking fertility care in a low-income setting. JBRA Assisted Reproduction. Feb 2024

4. The impact of fresh versus frozen-thawed embryos on maternal serum analyte levels in IVF singleton and twin pregnancies. J Assist Reprod Genet. Dec 2023

5. Diversity within Reproductive Endocrinology & Infertility Fellows and Program Directors.” Fertil Steril ""Consider This."" Jan 2023

6. Fumarase Deficiency Carriers and Its Effect on Infertility: A Case Series. Journal of Reproduction and Infertility. Jul-Sep 2023

7. Can artificial intelligence mitigate disparities in access to fertility care? Fertil Steril ""Consider This"". Jul 2023

8. Best Practices in Obstetric and Gynecologic Care for the Transgender Patient. Current Progress in Obstetrics & Gynaecology; 2023

","1. New York Top Doctors & Rising Star Honoree, The American Registry, 2023

2. Super Doctors, New York Rising Star, 2023, 2024

3. Executive MBA Tuition Reimbursement: Merit-based, Northwell Health, 2023-2024

4. Truly Award Nominee, Northwell Health, 2023, 2024","1. Defining the pathophysiologic basis of chronic endometritis (CE) and developing a non-invasive method for its detection, KIWH Innovations Grant Program (2024), $25,000. PI = Christine Metz

2. Menstrual effluent as a non-invasive tool to define and detect chronic endometritis in patients with unexplained infertility, ASRM Pilot & Exploratory Grant Awardee, 2024, $50,000. PI = Christine Metz


","1. Optimizing Natural Fecundity, Georgetown Public Health Corporation Ob/Gyn Department and Guyana's Obstetrics and Gynecology Society (Virtual CME lecture for country), 9/2023

2. Optimizing Natural Fecundity, Georgetown Public Health Corporation Ob/Gyn Department, 12/2023 (in-country)

3. Raising the Next Generation - Fertility, Association of Women Surgeons, 6/2024
","Stardust Fertility, Medical Advisory Board, 2022-present

Journal of Assisted Reproduction and Genetics, Editorial Board, 2021-present

UpToDate, Peer-Reviewer, 2023-present
"
"Eugenia Gianos, MD","Henry S, Vaidean G, Rege R, Gianos E. Common Origins and Shared Opportunities for Breast Cancer and Cardiovascular Disease Prevention. Heart. 109(14):1113-1121. PMID: 36849236 doi: 10.1136/heartjnl-2022-321710. 

Gianos E, Lau ES, El Khoudary SR, Guyton JR. JCL Roundtable: Lipidology and Women's Health. J Clin Lipidol. 2023 Jan-Feb;17(1):4-11. doi: 10.1016/j.jacl.2023.01.001. PMID: 36828612.

Gianos E, Thermidor S, Gaballa D, Hentz R, Fishbein J, Vaidean G, Weinberg C, Pachtman S, Blitz MJ, Grayver E. Clinical, Sociodemographic and Neighborhood Characteristics Associated with Adverse Pregnancy Outcomes. J Women's Health. 2024; 33(3):308-317.  PMID: 38061042 doi: 10.1089/jwh.2023.0032.

Safarova M, Moriarty PM, Kullo IJ, Ballantyne CM, Gianos E. Bempedoic Acid Falls in Line. Editorial Comment. J Am Coll Cardiol. 2024;84(2):163-164. 

Agarwala A, Dixon DL, Gianos E, Kirkpatrick CF, Michos ED, Satish P, Birtcher KK, Braun LT, Pillai P, Watson K, Wild R, Mehta LS. Dyslipidemia Management in Women of Reproductive Potential: An Expert Clinical Consensus from the National Lipid Association. J Clin Lipidol. 2024;S1933-2874(24)00188-0. doi: 10.1016/j.jacl.2024.05.005.
",Dr. Eugenia Gianos has been chosen as the recipient of the 2024 Dr. Mary Kalopothakes Distinguished Female Physician/Scientist Award bestowed by the Hellenic Medical Society.  ,,"For Dr. Eugenia Gianos:

1.	Cardiovascular Prevention in Women Over a Lifespan. Mount Sinai Beth Israel Medicine Grand Rounds. February 6, 2023. 
2.	Women’s Lipid Health Across the Lifespan: An Unmet Need. Preventive Cardiovascular Nurses Association Cholesterol Summit (Virtual). May 18, 2023. 
3.	Dyslipidemia in Women: Advances & Considerations. 2023 CMHC Women's Health Masterclass, Dana Point, CA. August 18, 2023. 
4.	Women Across their Own Life Cycles. 2023 Family Heart Global Summit, Washington, DC. October 1, 2023. 
",
"Wai Lee, MD","Tabakin, A. L., Sawhney, R., Daily, A. M., Winkler, H. A., Shalom, D. F., Tam, J., & Lee, W. Case log trends of urogynecology and reconstructive pelvic surgery fellows: A comparison of urology‐and gynecology‐based fellowship programs. Neurourology and Urodynamics.

Udedibia, E., Jun, G., Tabakin, A., Huang, K., Bagheri, I., Mansour, M., & Lee, W. (2024). PD63-12 A MULTIMODAL APPROACH TO PREVENTING RECURRENT UTIS: ALTERNATIVES TO ANTIBIOTICS WORK!. Journal of Urology, 211(5S), e1296-e1297.",Urology residency teacher of the year - June 2023,,"3/1/2024 Grand Rounds Invited Lecture, Demystifying Female Voiding Dysfunction. Department of Urogynecology, Icahn School of Medicine at Mount Sinai, New York, NY
 
 
12/4/2023 Grand Rounds Invited Lecture, Can You Prevent Recurrent UTIs Without Suppressive Antibiotics. Department of Urology, Maimonides Medical Center, Brooklyn, NY
 
10/2/2023 Grand Rounds Invited Lecture, Can You Prevent Recurrent UTIs Without Suppressive Antibiotics. Department of Urology, New York University Long Island, Mineola, NY
",Board certification - Urogynecology & Female Pelvic Surgery by American Board of Urology 2023
"Yana Etkin, MD","Guest editor for journal issue on women's vascular disease 
""Sex Disparities in Vascular Surgery Pathologies, Treatments, and Outcomes"" Seminars in Vascular Surgery Dec 2023

Silpe J, Koleilat I, Yu J, Kim YH, Taubenfeld E, Talathi S, Coluccio M, Wang K, Woo K, Etkin Y. Sex disparities in hemodialysis access outcomes: A systematic review. Semin Vasc Surg. 2023 Dec;36(4):560-570. doi: 10.1053/j.semvascsurg.2023.10.002. Epub 2023 Oct 29. PMID: 38030330.

Etkin Y, Iyeke L, Yu G, Ahmed I, Matera P, Aminov J, Kokkosis A, Hastings L, Garg K, Rockman C. Sex disparities in outcomes after carotid artery interventions: A systematic review. Semin Vasc Surg. 2023 Dec;36(4):476-486. doi: 10.1053/j.semvascsurg.2023.09.004. Epub 2023 Oct 5. PMID: 38030321.",,,,Chair of the Mentorship Committee for newly established International Society for Women Vascular Surgeons. 
"Annette Lee, PhD",,,"Title: Identifying Metastasis Driving Tumor Cell Subpopulations and Investigating their Molecular Interactions within Tumor Niches in Localized Stage III Clear Cell Renal Cell Carcinoma Patients

Organization: Department of Defense

Award Amount: $1,339,689 ",,"New York Health Research Science Board, Co-chair, 2022- present
Associated Medical Schools of New York, Biosciences Advisory Council, Member, 2021-present

"
"Stuart Weinerman, MD",,"  Outstanding Teacher Award, 2024, North Shore/LIJ",,,
"Elvisha Dhamala, PhD","Functional brain networks are associated with both sex and gender in children. Science Advances. July 2024. 
Brain-based prediction of psychiatric illness-linked behaviors across the sexes. Biological Psychiatry. September 2023. ",N/A,,"Computational Psychiatry Talks, Max Planck University College London Centre for Computational Psychiatry and Ageing, London, UK. April 2024. 
womenmind Conference, Centre for Addiction and Mental Health, Toronto, Canada. April 2024. 
Women’s Health Seminar Series, University of British Columbia, Vancouver, Canada. September 2023. 
",N/A
"Annemarie Stroustrup, MD","1.	Camerota M, McGowan EC, Aschner J, Stroustrup A, et al. Prenatal and perinatal factors associated with neonatal neurobehavioral profiles in the ECHO Program. Pediatr Res 2023;94(2):762-770. doi: 10.1038/s41390-023-02540-2. PMID: 36841884.
2.	Knapp EA, Kress AM, Parker CB, Page GP, McArthur K, Gachigi KK, Alshawabkeh AN, Aschner JL, Bastain TM, Breton CV, Bendixsen CG, Brennan PA, Bush NR, Buss C, Camargo CA Jr, Catellier D, Cordero JF, Croen L, Dabelea D, Deoni S, D'Sa V, Duarte CS, Dunlop AL, Elliott AJ, Farzan SF, Ferrara A, Ganiban JM, Gern JE, Giardino AP, Towe-Goodman NR, Gold DR, Habre R, Hamra GB, Hartert T, Herbstman JB, Hertz-Picciotto I, Hipwell AE, Karagas MR, Karr CJ, Keenan K, Kerver JM, Koinis-Mitchell D, Lau B, Lester BM, Leve LD, Leventhal B, LeWinn KZ, Lewis J, Litonjua AA, Lyall K, Madan JC, McEvoy CT, McGrath M, Meeker JD, Miller RL, Morello-Frosch R, Neiderhiser JM, O'Connor TG, Oken E, O'Shea M, Paneth N, Porucznik CA, Sathyanarayana S, Schantz SL, Spindel ER, Stanford JB, Stroustrup A, et al. The Environmental influences on Child Health Outcomes (ECHO)-wide Cohort. Am J Epidemiol 2023;192(8):1249-1263. doi: 10.1093/aje/kwad071. PMID: 36963379.
3.	Hofheimer JA, McGrath M, Musci R, Wu G, Polk S, Blackwell CK, Stroustrup A, et al. Assessment of Psychosocial and Neonatal Risk Factors for Trajectories of Behavioral Dysregulation Among Young Children From 18 to 72 Months of Age. JAMA Netw Open 2023;6(4):e2310059. PMID: 37099294.
4.	Ondersma SJ, Kress AM, Stroustrup A, et al. The association between intrauterine exposure to opioids, tobacco, alcohol, and cannabis 3 and length of birth hospitalization among neonates without NOWS. J Perinatol 2023;43(7):949-951. PMID: 37160977.
5.	Maron JL, Kingsmore S, Gelb BD, Vockley J, Wigby K, Bragg J, Stroustrup A, et al. Rapid Whole-Genomic Sequencing and a Targeted Neonatal Gene Panel in Infants with a Suspected Genetic Disorder. JAMA 2023;330(2):161-169. PMID: 37432431.
6.	Stroustrup A, Zhang X, Spear E, et al. Phthalate exposure in the neonatal intensive care unit is associated with development of bronchopulmonary dysplasia, Environ Int 2023;178:108117. PMID: 37517179.
7.	Camerota M, McGowan EC, Aschner J, Stroustrup A, et al. Neurodevelopmental and behavioral outcomes of very preterm infants: latent profile analysis in the Environmental influences on Child Health Outcomes (ECHO) Program. Pediatr Res 2023; doi: 10.1038/s41390-023-02814-9. Epub ahead of print. PMID: 37700161.
8.	Kelly NR, Orsini JJ, Goldenberg AJ, Mulrooney NS, Boychuk NA, Clarke MJ, Paleologos K, Martin MM, McNeight H, Caggana M, Bailey SM, Eiland LR, Ganesh J, Kupchik G, Lumba R, Nafday S,Stroustrup A, et al. ScreenPlus: A comprehensive, multi-disorder newborn screening program. Mol Genet Metab Rep 2023 Dec 14;38:101037. doi: 10.1016/j.ymgmr.2023.101037. PMID: 38173711; PMCID: PMC10761901.
9.	Zhang X, Blackwell CK, Moore J, Liu SH, Liu C, Forrest CB, Ganiban J, Stroustrup A, et al. Associations between neighborhood characteristics and child well-being before and during the COVID-19 pandemic: A repeated cross-sectional study in the environmental influences on child health outcome (ECHO) program. Environ Res 2024 Mar 26:118765. doi: 10.1016/j.envres.2024.118765. Epub ahead of print. PMID: 38548252.
10.	O’Shea TM, Jensen ET, Yi JX, Lester B, Aschner JL, Stroustrup A, et al. Association of Growth During Infancy With Neurodevelopment and Obesity in Children Born Very Preterm: The Environmental influences on Child Health Outcomes Cohort. J Pediatr 2024; Apr 17:114050. doi: 10.1016/j.jpeds.2024.114050. Online ahead of print. PMID: 38641165.",,"1. Developmental Impact of NICU Exposure, NIH Office of the Director, $7.6M over 7 years; 
2. The Environmental Factors in FEtal to Childhood Trajectories Cohort, NIH Office of the Director, $45.6M over 7 years; 
3. Phthalate Exposure and Mechanisms of Action in the Neonatal Intensive Care Unit, NIH NIEHS, $3.3M over 5 years",,
"Michelle Katzow, MD","Katzow MW, Steinway C, Zuzarte A, Chen J, Fishbein J, Jan S. Sociodemographic disparities in ambulatory pediatric telemedicine utilization during COVID-19. Telemedicine & e-Health. doi: 10.1089/tmj.2023.0005. Epub 2023 Aug 9. PubMed PMID: 37579076.  

Duh-Leong C, Messito MJ, Katzow MW, Kim C, Mendelsohn AL, Scott MA, Gross RS. Prenatal and Pediatric Primary Care-Based Child Obesity Prevention: Effects of Adverse Social Determinants of Health on Attendance and Intervention Impact. Childhood Obesity. 2024 Feb 1;. doi: 10.1089/chi.2023.0149. [Epub ahead of print] PubMed PMID: 38301173.

Katzow MW, Steinway C, Capossela E, Chen J, Chen V, Fenster T, Galagedera N, Hamill M, Lin E, Mamauag E, Moriarty S, Pathania S, Pliskin L, Ripp A, Ronay A, Santiago MT,  Yang M, Jan S. Utilization and Patient Reported Outcomes of Direct-to-Consumer Telemedicine During the First Six Weeks of the COVID-19 Pandemic in the Largest Pediatric Ambulatory Network in New York State. Telemedicine & e-Health. 2024 Apr 9;. doi: 10.1089/tmj.2023.0483. [Epub ahead of print] PubMed PMID: 38597957.

Jan S, Katz R, Fagan D, Santos T, Beachy JC, Steinway C, Chen J, Stouristakis A, Mancenido B, Leung C, Moore E, Wilson E, Katzow MW, Rubin LG. Prevalence of SARS-CoV-2 in newborns born to SARS-CoV-2- positive mothers at 2 weeks of life. Frontiers in Pediatrics. 2024 April; 12. doi: 10.3389/fped.2024.1381104.

Duh-Leong C, Ortiz R, Messito MJ, Katzow MW, Kim CN, Teli R, Gross RS. Household Food Insecurity and Maternal-Toddler Fruit and Vegetable Dietary Concordance. J Nutr Educ Behav. 2024 Feb;56(2):100-109. doi: 10.1016/j.jneb.2023.10.018. Epub 2023 Dec 23. PMID: 38142387; PMCID: PMC10922249.

Kim CN, Messito MJ, Duh-Leong C, Katzow MW, Teli R, Gross RS. The effects of parent-child dysfunctional interactions on early childhood weight: A serial mediation model through emotional feeding and child appetite traits. Appetite. Epub 2024 June 17. doi:10.1016/j.appet.2024.107564

Teli R, Messito MJ, Kim CN, Duh-Leong C, Katzow MW, & Gross RS. Prolonged Early Household Food Insecurity and Toddler Feeding Practices: The Role of Parenting Stress. Academic Pediatrics (in press).
","Rosalind Franklin Society Special Award in Science for 2023 Childhood Obesity manuscript, “Protective effect of prenatal social support on the intergenerational transmission of obesity in low-income Hispanic families,” Mary Ann Liebert Inc., 2024","2023 - 2030	NIH UG3OD035532                                               mPI Stroustrup, Rochelson
This project will establish a new Environmental Influences on Child Health Outcomes (ECHO) Cohort Study Site, called the Environmental Factors in FEtal to Childhood Trajectories (EFFECT) cohort. Scientific aims focus on the association of maternal chemical and psychosocial exposures with child growth trajectories and obesity risk. 
Role: Co-Investigator

2022 - 2027	NHLBI K23HL159326                                                                PI Katzow
The purpose of this K23 proposal is to prepare the applicant for a career in developing and implementing interventions that begin in pregnancy to prevent child obesity using innovative and scalable delivery platforms, and to adapt and pilot test an evidence-based child obesity prevention intervention to be optimized for remote, virtual delivery. The knowledge gained from this proposal will help to address the critical need for scalable child obesity prevention programs that aim to eliminate disparities in child obesity and its adverse downstream consequences.
","2024	Practical Guidance for Anti-obesity Medication Prescribing in Children and Adolescents. New York Society for Adolescent Health and Medicine, New York, NY.

2024	Obesity Discussion Panelist, New York State Department of Health and Mental Hygiene, Office of School Health.

2024	Katzow M and Gross R. Early child obesity prevention beginning in pregnancy: Integrating the primary care-based Starting Early Program with WIC. California WIC Association 32nd Annual Conference and Trade Show. May 8, 2024. Online.",none. 
"Karina Davidson, PhD","1.	Davidson KW, Terry MB, Braveman P, Reis PJ, Timmermans S, Epling JW Jr. Maternal Mortality: A National Institutes of Health Pathways to Prevention Panel Report. Obstet Gynecol. 2024 Mar 1;143(3):e78-e85. doi: 10.1097/AOG.0000000000005488. Epub 2023 Dec 21. PMID: 38128099; PMCID: PMC10863655.
2.	Pearson TA, Vitalis D, Pratt C, Campo R, Armoundas AA, Au D, Beech B, Brazhnik O, Chute CG, Davidson KW, Diez-Roux AV, Fine LJ, Gabriel D, Groenveld P, Hall J, Hamilton AB, Hu H, Ji H, Kind A, Kraus WE, Krumholz H, Mensah GA, Merchant RM, Mozaffarian D, Murray DM, Neumark-Sztainer D, Petersen M, Goff D. The Science of Precision Prevention: Research Opportunities and Clinical Applications to Reduce Cardiovascular Health Disparities. JACC Adv. 2024 Jan;3(1):100759. doi: 10.1016/j.jacadv.2023.100759. Epub 2023 Dec 13. PMID: 38375059; PMCID: PMC10876066.
3.	Ho M, Levy TJ, Koulas I, Founta K, Coppa K, Hirsch JS, Davidson KW, Spyropoulos AC, Zanos TP. Longitudinal dynamic clinical phenotypes of in-hospital COVID-19 patients across three dominant virus variants in New York. Int J Med Inform. 2024 Jan;181:105286. doi: 10.1016/j.ijmedinf.2023.105286. Epub 2023 Nov 8. PMID: 37956643; PMCID: PMC10843635.
4.	Goodwin AM, Miller D, D'Angelo S, Perrin A, Wiener R, Greene B, Romain AN, Arader L, Chandereng T, Kuen Cheung Y, Davidson KW, Butler M. Protocol for randomized personalized trial for stress management compared to standard of care. Front Psychol. 2023 Sep 19;14:1233884. doi: 10.3389/fpsyg.2023.1233884. PMID: 37794909; PMCID: PMC10546313.
5.	Butler M, D'Angelo S, Ahn H, Chandereng T, Miller D, Perrin A, Romain AN, Scatoni A, Friel CP, Cheung YK, Davidson KW. A Series of Personalized Virtual Light Therapy Interventions for Fatigue: Feasibility Randomized Crossover Trial for N-of-1 Treatment. JMIR Form Res. 2023 Sep 18;7:e45510. doi: 10.2196/45510. PMID: 37721795; PMCID: PMC10546268.
6.	Butler MJ, Romain AN, Augustin R, Robles P, Friel CP, Chandereng T, Suls JM, Vrany EA, Vicari F, Cheung YK, Davidson KW. The effect of a multi-component behavior change technique intervention on medication adherence among individuals on primary prevention statin therapy: a dose-finding protocol. Trials. 2023 Aug 12;24(1):523. doi: 10.1186/s13063-023-07549-w. PMID: 37573428; PMCID: PMC10422706.
7.	Butler M, D'Angelo S, Perrin A, Rodillas J, Miller D, Arader L, Chandereng T, Cheung YK, Shechter A, Davidson KW. A Series of Remote Melatonin Supplement Interventions for Poor Sleep: Protocol for a Feasibility Pilot Study for a Series of Personalized (N-of-1) Trials. JMIR Res Protoc. 2023 Aug 3;12:e45313. doi: 10.2196/45313. PMID: 37535419; PMCID: PMC10436115.
8.	Butler MJ, Romain AN, Augustin R, Robles P, Friel CP, Vicari F, Chandereng T, Alfano CM, Cheung YK, Davidson KW. The effect of a multi-component behavior change technique intervention on physical activity among individuals on primary prevention statin therapy: A dose-finding trial protocol. Contemp Clin Trials. 2023 Jul;130:107205. doi: 10.1016/j.cct.2023.107205. Epub 2023 Apr 25. PMID: 37105318; PMCID: PMC10368194.
9.	Barry MJ, Nicholson WK, Silverstein M, Coker TR, Davidson KW, Davis EM, Donahue KE, Jaén CR, Li L, Ogedegbe G, Pbert L, Rao G, Ruiz JM, Stevermer J, Tsevat J, Underwood SM, Wong JB. Screening for Anxiety Disorders in Adults: US Preventive Services Task Force Recommendation Statement. JAMA. 2023 Jun 27;329(24):2163-2170. doi: 10.1001/jama.2023.9301. PMID: 37338866.
10.	Barry MJ, Nicholson WK, Silverstein M, Chelmow D, Coker TR, Davidson KW, Davis EM, Donahue KE, Jaén CR, Li L, Ogedegbe G, Pbert L, Rao G, Ruiz JM, Stevermer JJ, Tsevat J, Underwood SM, Wong JB. Screening for Depression and Suicide Risk in Adults: US Preventive Services Task Force Recommendation Statement. JAMA. 2023 Jun 20;329(23):2057-2067. doi: 10.1001/jama.2023.9297. PMID: 37338872.
11.	Friel CP, Robles PL, Butler M, Pahlevan-Ibrekic C, Duer-Hefele J, Vicari F, Chandereng T, Cheung K, Suls J, Davidson KW. Testing Behavior Change","2023		Elected member, National Academy of Medicine","R25 GM139082    		Davidson (PI)				2020-2025		$449,925
NIH/NIGMS
MAVEN: Developing Diverse Senior Scientists Leaders
The long-term objective of the MAVEN program is to expand the national pool of qualified women and minority candidates for senior scientist positions across all NIGMS areas of science.
 
R01NR020774                          Zanos/Davidson (PIs)	        2023-2028                    $494,846
NIH/NINR
Optimization of monitoring, prediction and phenotyping of deterioration of in-hospital patients using machine learning and multimodal real time data
We will generate machine learning, predictive models designed to optimize patient monitoring, using large clinical datasets from diverse communities, providing clinicians with new tools to enable early, targeted, potentially life-saving therapies to hospitalized patients. using our large dataset from more than 2.4 million hospitalizations across multiple hospitals and a prospective cohort of 2,000 continuously monitored patients.

PCORI  Davidson/Kalman (PIs)			         2023-2028                        	TBD
Health Systems Implementation Initiative
The Health Systems Implementation Initiative is a multi-year initiative to advance the uptake of practice-changing comparative clinical effectiveness research results in care delivery settings to improve patient care and outcomes. Northwell will join a learning network of participating organizations with exclusive funding opportunities to support large-scale implementation of evidence-based care. 

",,
